year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2008,1,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",711,174,50.65,6.45,42.35,0,74.54,41,0,9009,2364,443,1834,0,4368
2008,1,CO,Continental Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",323,78,17.62,3.31,31.11,0.28,25.68,5,0,3464,642,153,1364,15,1290
2008,1,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",12282,1756,430.32,38.12,796.57,0.89,490.1,433,33,91708,32555,4145,27837,49,27122
2008,1,EV,Atlantic Southeast Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",11097,2571,1216.9,166.18,814.71,3.84,369.36,579,11,143978,83196,12399,31124,122,17137
2008,1,F9,Frontier Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",123,29,16.78,0,11.26,0,0.97,1,0,1013,574,0,398,0,41
2008,1,FL,AirTran Airways Corporation,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",6823,1297,159.78,5.75,659.79,0,471.68,103,14,64058,6835,626,28102,0,28495
2008,1,MQ,American Eagle Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",62,22,6.06,0.68,10.05,0,5.2,14,0,904,198,42,299,0,365
2008,1,NW,Northwest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",416,143,47.03,2.62,84.62,0,8.72,6,0,5601,2084,414,2652,0,451
2008,1,OH,Comair Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",522,171,55.97,30.25,80.14,0,4.63,25,1,8860,3786,1784,2981,0,309
2008,1,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",449,63,16,6,4,1,36,27,0,3982,1208,700,514,42,1518
2008,1,UA,United Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",237,78,26.86,5.54,17.76,0,27.84,8,0,4728,1492,246,1042,0,1948
